Protein	Genome
14_1009_13_30cm_scaffold_2712_10	14_1009_13_30cm_Bacteria_9108_59_8
14_0903_02_30cm_scaffold_40_36	14_0903_02_30cm_Bacteria_162_64_22
14_1009_16_30cm_scaffold_3242_8	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_05_30cm_scaffold_5488_6	14_1009_05_30cm_Bacteria_4168_57_7
14_0929_09_30cm_scaffold_585_7	14_0929_09_30cm_Bacteria_6847_57_11
14_0929_05_40cm_scaffold_34903_1	14_0929_05_40cm_Bacteria_3435_70_7
14_0929_02_30cm_scaffold_1191_9	14_0929_02_30cm_Bacteria_2615_69_23
14_0903_13_30cm_scaffold_3137001_5	14_0903_13_30cm_Proteobacteria_5067_68_10
14_0927_12_40cm_scaffold_967_13	14_0927_12_40cm_Acidobacteria_6535_59_9
14_1009_12_20cm_scaffold_6754_27	14_1009_12_20cm_Acidobacteria_8403_56_5
14_0903_12_30cm_scaffold_5681_9	14_0903_12_30cm_Betaproteobacteria_1076_65_10
14_0903_09_20cm_scaffold_67_13	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_30cm_scaffold_2789747_6	14_0903_13_30cm_Bacteria_4853_55_13
